variant,task,cell,gene,mean_beta,sd_beta,n_outer_fits
standardized,NR-AR,HA1E,CCNB2,0.00013727922708889792,0.0009442414542947452,100
standardized,NR-AR,HA1E,HIST2H2BE,-1.990220193164995e-05,0.0002221811198789544,100
standardized,NR-AR,HA1E,PTPN1,0.00011498972969777029,0.0006070353254838843,100
standardized,NR-AR,HA1E,TES,-0.00011061283808628907,0.0006507892046168167,100
standardized,NR-AR,HA1E,GFPT1,-6.112468923140081e-05,0.0003494470549409221,100
standardized,NR-AR,HA1E,LIG1,7.804657027328804e-05,0.0005033394748595942,100
standardized,NR-AR,HA1E,PKIG,-2.703781081940912e-05,0.00018314112808100132,100
standardized,NR-AR,HA1E,P4HA2,-3.338467760593672e-05,0.0001790460813158842,100
standardized,NR-AR,HA1E,EBP,0.00011656765600951358,0.000600689257591917,100
standardized,NR-AR,HA1E,PHKB,1.3618870056409562e-06,4.986660723747581e-05,100
standardized,NR-AR,HA1E,PIK3R3,0.00013045078457801166,0.0006916070819735596,100
standardized,NR-AR,HA1E,WRB,4.288326426795324e-05,0.0004820741802935215,100
standardized,NR-AR,HA1E,GPC1,0.00014943854938640085,0.000893730325832578,100
standardized,NR-AR,HA1E,SYNE2,4.759410648793133e-05,0.00040805150842204463,100
standardized,NR-AR,HA1E,CASP3,-0.00035344160127918884,0.0019399288073471497,100
standardized,NR-AR,HA1E,DNTTIP2,-0.00012912164416925396,0.0009688432992110009,100
standardized,NR-AR,HA1E,ZMYM2,5.426859561917125e-05,0.0005891408345352491,100
standardized,NR-AR,HA1E,OXCT1,-1.36758027421658e-05,0.00039111511934015276,100
standardized,NR-AR,HA1E,NNT,-0.00011978228576041895,0.0007441089391213763,100
standardized,NR-AR,HA1E,MAPKAPK3,-0.00022643295335367684,0.0013202931812154402,100
standardized,NR-AR,HA1E,INPP1,-0.00019955382586700664,0.001122181653459985,100
standardized,NR-AR,HA1E,SACM1L,4.973156026636251e-05,0.00030093387793992126,100
standardized,NR-AR,HA1E,PRKACA,-3.208469015032261e-05,0.00023612393681334717,100
standardized,NR-AR,HA1E,INTS3,0.0001790251251432331,0.001021823069993748,100
standardized,NR-AR,HA1E,STAMBP,-2.0986466433737532e-05,0.0002337445417742135,100
standardized,NR-AR,HA1E,GAA,4.1953512349625314e-05,0.00022504678633483529,100
standardized,NR-AR,HA1E,TARBP1,-2.188753817012556e-05,0.0001265734642705134,100
standardized,NR-AR,HA1E,SLC25A4,-4.508361180847781e-05,0.0003554735081600501,100
standardized,NR-AR,HA1E,SLC37A4,1.6971569284826598e-06,0.00015248075500759958,100
standardized,NR-AR,HA1E,PCK2,7.90325452591489e-05,0.0007319802478348415,100
standardized,NR-AR,HA1E,HPRT1,9.276193464872461e-05,0.0005490913872548234,100
standardized,NR-AR,HA1E,FAH,7.21245096351568e-05,0.0003927107420118529,100
standardized,NR-AR,HA1E,POP4,-2.5284900776551396e-05,0.0003490187398860888,100
standardized,NR-AR,HA1E,CDC20,0.0001002913622807083,0.0007479239620523956,100
standardized,NR-AR,HA1E,CYTH1,2.8494223852239786e-05,0.00021984522990856807,100
standardized,NR-AR,HA1E,DDIT4,0.00023079228176661762,0.0013604761884247636,100
standardized,NR-AR,HA1E,MAP7,0.00021380892605788772,0.0012945974625688237,100
standardized,NR-AR,HA1E,NIT1,-1.64112566631476e-05,0.00018090770798724796,100
standardized,NR-AR,HA1E,NUP88,-0.00020209852132655495,0.0010921613603807178,100
standardized,NR-AR,HA1E,WFS1,0.0001076967084866959,0.0005451394187870267,100
standardized,NR-AR,HA1E,ADGRE5,-7.16904703158319e-05,0.0004158194987295912,100
standardized,NR-AR,HA1E,MSH6,-0.00017792188874193933,0.001021522479666333,100
standardized,NR-AR,HA1E,FAM20B,2.9600807467015927e-05,0.00021696314518606467,100
standardized,NR-AR,HA1E,PIN1,4.485239433397714e-05,0.00029620691190112284,100
standardized,NR-AR,HA1E,ETFB,-0.00013050708560207415,0.0007508476291084837,100
